DEPARTAMENTO,CIUDAD,LATITUD,LONGITUD
AMAZONAS,LETICIA,-4.21528,-69.94056
ANTIOQUIA,MEDELLIN,6.24420,-75.58121
ARAUCA,ARAUCA,7.08471,-70.75908
ATLANTICO,BARRANQUILLA,10.96854,-74.78132
BOLIVAR,CARTAGENA,10.39972,-75.51444
BOYACA,TUNJA,5.53528,-73.36778
CALDAS,MANIZALES,5.06889,-75.51738
CAQUETA,FLORENCIA,1.61438,-75.60623
CASANARE,YOPAL,5.33775,-72.39586
CAUCA,POPAYAN,2.44481,-76.61474
CESAR,VALLEDUPAR,10.47640,-73.24363
CHOCO,QUIBDO,5.69472,-76.66111
CORDOBA,MONTERIA,8.74798,-75.88143
CUNDINAMARCA,"BOGOTA, D.C.",4.60971,-74.08175
GUAINIA,INIRIDA,3.86526,-67.92379
GUAVIARE,SAN JOSE DEL GUAVIARE,2.57291,-72.64591
HUILA,NEIVA,2.92730,-75.28189
LA GUAJIRA,RIOHACHA,11.54444,-72.90722
MAGDALENA,SANTA MARTA,11.24079,-74.19904
META,VILLAVICENCIO,4.14200,-73.62664
NARIÑO,PASTO,1.21361,-77.28111
NORTE DE SANTANDER,CUCUTA,7.88910,-72.49669
PUTUMAYO,MOCOA,1.14797,-76.64635
QUINDIO,ARMENIA,4.53389,-75.68111
RISARALDA,PEREIRA,4.81333,-75.69611
SAN ANDRES Y PROVIDENCIA,SAN ANDRES,12.58472,-81.70056
SANTANDER,BUCARAMANGA,7.12539,-73.11980
SUCRE,SINCELEJO,9.30472,-75.39778
TOLIMA,IBAGUE,4.43889,-75.23222
VALLE DEL CAUCA,CALI,3.43722,-76.52250
VAUPES,MITU,1.25361,-70.23500
VICHADA,PUERTO CARREÑO,6.18710,-67.48446
